datetime,open,low,high,close,volume
2024-01-04 15:29,468.09,468.08,468.319,468.269,188410
2024-01-04 15:30,468.26,468.1632,468.32,468.23,209564
2024-01-04 15:31,468.23,468.21,468.38,468.37,224097
2024-01-04 15:32,468.37,468.34,468.665,468.54,334484
2024-01-04 15:33,468.54,468.46,468.6795,468.57,182611
2024-01-04 15:34,468.56,468.425,468.59,468.505,163543
2024-01-04 15:35,468.51,468.485,468.64,468.55,185100
2024-01-04 15:36,468.55,468.47,468.6093,468.515,150098
2024-01-04 15:37,468.53,468.46,468.61,468.5101,165623
2024-01-04 15:38,468.52,468.435,468.6,468.525,164760
2024-01-04 15:39,468.52,468.47,468.58,468.515,178858
2024-01-04 15:40,468.52,468.44,468.64,468.44,502274
2024-01-04 15:41,468.44,468.43,468.51,468.445,171524
2024-01-04 15:42,468.45,468.33,468.4603,468.33,275632
2024-01-04 15:43,468.34,468.2,468.38,468.29,278372
2024-01-04 15:44,468.29,468.29,468.41,468.34,254382
2024-01-04 15:45,468.34,468.265,468.39,468.32,524423
2024-01-04 15:46,468.33,468.33,468.5168,468.47,296327
2024-01-04 15:47,468.47,468.25,468.49,468.2582,513193
2024-01-04 15:48,468.25,468.145,468.32,468.15,351939
2024-01-04 15:49,468.1511,467.81,468.17,467.835,578570
2024-01-04 15:50,467.83,467.39,467.97,467.44,1030038
2024-01-04 15:51,467.44,467.23,467.58,467.5116,804393
2024-01-04 15:52,467.51,467.3,467.51,467.32,864699
2024-01-04 15:53,467.32,467.155,467.32,467.2695,2029752
2024-01-04 15:54,467.27,467.05,467.29,467.25,915185
2024-01-04 15:55,467.25,467.05,467.34,467.21,1150503
2024-01-04 15:56,467.205,467.2,467.51,467.3,1077932
2024-01-04 15:57,467.31,467.17,467.31,467.18,1231607
2024-01-04 15:58,467.19,467.185,467.29,467.28,985265
2024-01-04 15:59,467.28,467.11,467.48,467.27,4164760
2024-01-05 9:30,467.49,467.15,467.541,467.39,601343
2024-01-05 9:31,467.42,467.13,467.52,467.145,230825
2024-01-05 9:32,467.14,467.135,467.56,467.3,200312
2024-01-05 9:33,467.3,467.3,467.79,467.69,408514
2024-01-05 9:34,467.7,467.65,468.11,468.07,458647
2024-01-05 9:35,468.07,467.99,468.21,468.1588,269144
2024-01-05 9:36,468.15,467.97,468.22,468.14,278345
2024-01-05 9:37,468.12,468.08,468.44,468.225,328624
2024-01-05 9:38,468.24,468.16,468.32,468.2,340078
2024-01-05 9:39,468.2,467.91,468.3399,467.92,224535
2024-01-05 9:40,467.92,467.55,467.93,467.79,269102
2024-01-05 9:41,467.795,467.66,467.9532,467.8686,162727
2024-01-05 9:42,467.865,467.7,468.03,468.03,136414
2024-01-05 9:43,468.04,467.88,468.21,467.955,137057
2024-01-05 9:44,467.96,467.88,468.07,468.02,132686
2024-01-05 9:45,468.02,468.02,468.4299,468.32,136286
2024-01-05 9:46,468.315,468.22,468.43,468.39,184695
2024-01-05 9:47,468.4001,468.28,468.43,468.4,128598
2024-01-05 9:48,468.41,468.29,468.44,468.33,135260
2024-01-05 9:49,468.31,468.24,468.42,468.3804,226922
2024-01-05 9:50,468.39,468.36,468.46,468.43,487501
2024-01-05 9:51,468.44,468.35,468.49,468.4,107215
2024-01-05 9:52,468.41,468.3,468.55,468.37,215919
2024-01-05 9:53,468.37,468.26,468.59,468.45,109653
2024-01-05 9:54,468.45,468.3601,468.54,468.37,107667
2024-01-05 9:55,468.39,468.13,468.475,468.21,339715
2024-01-05 9:56,468.215,468.13,468.27,468.165,198261
2024-01-05 9:57,468.18,468.01,468.21,468.11,217400
2024-01-05 9:58,468.12,468.03,468.14,468.14,88299
2024-01-05 9:59,468.15,468.02,468.18,468.1699,99934
2024-01-05 10:00,468.15,468.15,469.02,468.79,692970
2024-01-05 10:01,468.79,468.76,469.21,469.09,249678
2024-01-05 10:02,469.08,469.08,469.72,469.68,535583
2024-01-05 10:03,469.68,469.4399,469.84,469.82,564651
2024-01-05 10:04,469.81,469.49,469.835,469.75,288842
2024-01-05 10:05,469.75,469.62,469.925,469.77,254232
2024-01-05 10:06,469.77,469.77,470.09,469.92,341132
2024-01-05 10:07,469.92,469.85,470.11,470.11,227619
2024-01-05 10:08,470.1,470.04,470.27,470.04,421650
2024-01-05 10:09,470.0301,469.86,470.16,470.16,279651
2024-01-05 10:10,470.165,469.92,470.42,470.1,544583
2024-01-05 10:11,470.1,469.85,470.14,469.9,285886
2024-01-05 10:12,469.88,469.85,470.2,470.07,221723
2024-01-05 10:13,470.04,469.58,470.13,469.7287,655333
2024-01-05 10:14,469.74,469.63,469.8,469.7299,153274
2024-01-05 10:15,469.71,469.34,469.775,469.38,365778
2024-01-05 10:16,469.39,469.17,469.4113,469.27,221557
2024-01-05 10:17,469.27,469.155,469.35,469.29,181453
2024-01-05 10:18,469.275,469.2302,469.44,469.39,210024
2024-01-05 10:19,469.39,469.245,469.55,469.4,190922
2024-01-05 10:20,469.39,469.16,469.45,469.16,143879
2024-01-05 10:21,469.18,469.17,469.515,469.41,179032
2024-01-05 10:22,469.42,469.3807,469.56,469.455,138734
2024-01-05 10:23,469.455,469.455,469.75,469.62,193385
2024-01-05 10:24,469.62,469.6,469.79,469.7299,187176
2024-01-05 10:25,469.74,469.6988,469.93,469.91,133148
2024-01-05 10:26,469.91,469.595,469.95,469.69,217427
2024-01-05 10:27,469.69,469.41,469.69,469.48,152644
2024-01-05 10:28,469.49,469.42,469.65,469.56,326872
2024-01-05 10:29,469.56,469.42,469.575,469.49,117981
2024-01-05 10:30,469.47,469.23,469.63,469.28,143479
2024-01-05 10:31,469.28,469.28,469.71,469.64,122987
2024-01-05 10:32,469.64,469.61,469.95,469.7603,310611
2024-01-05 10:33,469.76,469.6725,469.88,469.76,173403
2024-01-05 10:34,469.765,469.74,470,469.92,153573
2024-01-05 10:35,469.935,469.7517,469.97,469.76,106616
2024-01-05 10:36,469.76,469.735,469.93,469.85,88530
2024-01-05 10:37,469.85,469.825,470.06,469.91,146792
2024-01-05 10:38,469.915,469.87,469.99,469.9605,117969
2024-01-05 10:39,469.95,469.68,470.045,469.69,179802
2024-01-05 10:40,469.7,469.55,469.7599,469.73,194043
2024-01-05 10:41,469.7297,469.68,469.84,469.76,130788
2024-01-05 10:42,469.75,469.75,470.03,470.019,400102
2024-01-05 10:43,470.01,469.91,470.1,469.96,159864
2024-01-05 10:44,469.95,469.95,470.12,470.08,94774
2024-01-05 10:45,470.07,469.99,470.23,470.22,212260
2024-01-05 10:46,470.215,470.02,470.2187,470.0201,101213
2024-01-05 10:47,470.03,469.97,470.12,469.98,97545
2024-01-05 10:48,469.98,469.95,470.04,469.955,91004
2024-01-05 10:49,469.97,469.89,470.005,469.99,135135
2024-01-05 10:50,470,469.71,470.0101,469.765,170009
2024-01-05 10:51,469.75,469.75,470.0599,469.99,123526
2024-01-05 10:52,470,469.98,470.27,470.27,139869
2024-01-05 10:53,470.26,470.11,470.29,470.11,147777
2024-01-05 10:54,470.11,470.08,470.23,470.205,83344
2024-01-05 10:55,470.21,470.2,470.36,470.28,178947
2024-01-05 10:56,470.285,470.11,470.32,470.17,110611
2024-01-05 10:57,470.18,469.94,470.19,470,92620
2024-01-05 10:58,469.995,469.99,470.24,470.24,153138
2024-01-05 10:59,470.215,470.13,470.27,470.14,122131
2024-01-05 11:00,470.14,470.09,470.24,470.16,117402
2024-01-05 11:01,470.16,470.14,470.39,470.38,113996
2024-01-05 11:02,470.37,470.245,470.38,470.305,200160
2024-01-05 11:03,470.305,470.18,470.34,470.22,86108
2024-01-05 11:04,470.22,470.01,470.22,470.035,192214
2024-01-05 11:05,470.04,470.03,470.24,470.09,189672
2024-01-05 11:06,470.08,469.97,470.19,470,134035
2024-01-05 11:07,470,469.65,470.06,469.87,280815
2024-01-05 11:08,469.87,469.78,469.9714,469.89,148309
2024-01-05 11:09,469.89,469.845,470.03,469.97,103510
2024-01-05 11:10,469.96,469.83,470.02,469.88,83636
2024-01-05 11:11,469.88,469.88,470.25,470.245,156209
2024-01-05 11:12,470.25,470.25,470.405,470.3,114707
2024-01-05 11:13,470.29,470.24,470.41,470.25,151927
2024-01-05 11:14,470.245,470.19,470.29,470.24,76679
2024-01-05 11:15,470.24,470.22,470.36,470.295,130246
2024-01-05 11:16,470.295,470.24,470.44,470.25,95046
2024-01-05 11:17,470.25,469.97,470.26,469.99,129106
2024-01-05 11:18,469.99,469.325,470,469.51,396972
2024-01-05 11:19,469.51,469.36,469.61,469.42,219339
2024-01-05 11:20,469.415,469.13,469.45,469.21,176899
2024-01-05 11:21,469.2,469.19,469.53,469.35,219795
2024-01-05 11:22,469.35,469.23,469.505,469.265,409101
2024-01-05 11:23,469.27,469.15,469.41,469.205,141093
2024-01-05 11:24,469.2,469.13,469.39,469.36,169748
2024-01-05 11:25,469.37,469.27,469.52,469.27,116640
2024-01-05 11:26,469.265,469.2,469.36,469.3205,98402
2024-01-05 11:27,469.32,469.1546,469.32,469.21,91051
2024-01-05 11:28,469.2,469.07,469.2106,469.105,106395
2024-01-05 11:29,469.105,469.05,469.21,469.122,110048
2024-01-05 11:30,469.13,469.12,469.4,469.37,119514
2024-01-05 11:31,469.37,469.16,469.37,469.23,213849
2024-01-05 11:32,469.23,469.175,469.305,469.2591,133399
2024-01-05 11:33,469.24,469.1788,469.28,469.27,43917
2024-01-05 11:34,469.265,469.07,469.31,469.22,153951
2024-01-05 11:35,469.2239,469.08,469.26,469.18,102856
2024-01-05 11:36,469.19,469.06,469.2059,469.065,107433
